id,key,value,type
4794654,surface,asphalt,regular
4794672,highway,residential,regular
4794672,lanes,2,regular
4794672,name,82 Street NW,regular
4794672,surface,asphalt,regular
4794674,highway,residential,regular
4794674,lanes,2,regular
4794674,name,83 Street NW,regular
4794674,surface,asphalt,regular
4794676,highway,residential,regular
4794676,lanes,2,regular
4794676,name,79 Street NW,regular
4794676,surface,asphalt,regular
4794677,highway,residential,regular
4794677,lanes,2,regular
4794677,name,Bowwood Drive NW,regular
4794677,surface,asphalt,regular
4794678,highway,residential,regular
4794678,lanes,2,regular
4794678,name,32 Avenue NW,regular
4794678,surface,asphalt,regular
4794685,bicycle,designated,regular
4794685,highway,residential,regular
4794685,lanes,2,regular
4794685,name,32 Avenue NW,regular
4794685,surface,asphalt,regular
4794686,highway,residential,regular
4794686,lanes,2,regular
4794686,name,63 Street NW,regular
4794686,surface,asphalt,regular
4794691,highway,residential,regular
4794691,lanes,2,regular
4794691,name,64 Street NW,regular
4794691,surface,asphalt,regular
4794692,highway,residential,regular
4794692,lanes,2,regular
4794692,name,34 Avenue NW,regular
4794692,surface,asphalt,regular
4794694,highway,residential,regular
4794694,lanes,2,regular
4794694,name,36 Avenue NW,regular
4794694,surface,asphalt,regular
4794695,highway,residential,regular
4794695,lanes,2,regular
4794695,name,64 Street NW,regular
4794695,surface,asphalt,regular
4794696,highway,residential,regular
4794696,lanes,2,regular
4794696,name,35 Avenue NW,regular
4794696,surface,asphalt,regular
4794697,highway,residential,regular
4794697,lanes,2,regular
4794697,name,Bow Anne Road NW,regular
4794697,surface,asphalt,regular
4794698,highway,residential,regular
4794698,lanes,2,regular
4794698,name,Bowwood Drive NW,regular
4794698,surface,asphalt,regular
4794699,highway,residential,regular
4794699,lanes,2,regular
4794699,name,66 Street NW,regular
4794699,surface,asphalt,regular
4794706,highway,residential,regular
4794706,lanes,2,regular
4794706,name,67 Street NW,regular
4794706,surface,asphalt,regular
4802485,highway,unclassified,regular
4802485,name,14 Street NW,regular
4802485,surface,compacted,regular
4802502,highway,tertiary,regular
4802502,name,Sage Hill Link NW,regular
4802503,highway,unclassified,regular
4802506,bicycle,designated,regular
4802506,highway,tertiary,regular
4802506,name,Hamptons Boulevard NW,regular
4802506,oneway,yes,regular
4802541,highway,tertiary,regular
4802541,name,Valley Ridge Drive NW,regular
4802542,highway,residential,regular
4802542,name,Valley Creek Road NW,regular
4802542,oneway,yes,regular
4802568,attribution,GeoBase®,regular
4802568,geobase:acquisitionTechnique,GPS,regular
4802568,highway,residential,regular
